season,round,constructor,constructor_points,constructor_wins,constructor_standings_pos
2020,1,mercedes,37.0,1,1
2020,1,mclaren,26.0,0,2
2020,1,ferrari,19.0,0,3
2020,1,racing_point,8.0,0,4
2020,1,alphatauri,6.0,0,5
2020,1,renault,4.0,0,6
2020,1,alfa,2.0,0,7
2020,1,williams,0.0,0,8
2020,1,red_bull,0.0,0,9
2020,1,haas,0.0,0,10
2020,2,mercedes,80.0,2,1
2020,2,mclaren,39.0,0,2
2020,2,red_bull,27.0,0,3
2020,2,racing_point,22.0,0,4
2020,2,ferrari,19.0,0,5
2020,2,renault,8.0,0,6
2020,2,alphatauri,7.0,0,7
2020,2,alfa,2.0,0,8
2020,2,williams,0.0,0,9
2020,2,haas,0.0,0,10
2020,3,mercedes,121.0,3,1
2020,3,red_bull,55.0,0,2
2020,3,mclaren,41.0,0,3
2020,3,racing_point,40.0,0,4
2020,3,ferrari,27.0,0,5
2020,3,renault,12.0,0,6
2020,3,alphatauri,7.0,0,7
2020,3,alfa,2.0,0,8
2020,3,haas,1.0,0,9
2020,3,williams,0.0,0,10
2020,4,mercedes,146.0,4,1
2020,4,red_bull,78.0,0,2
2020,4,mclaren,51.0,0,3
2020,4,ferrari,43.0,0,4
2020,4,racing_point,42.0,0,5
2020,4,renault,32.0,0,6
2020,4,alphatauri,13.0,0,7
2020,4,alfa,2.0,0,8
2020,4,haas,1.0,0,9
2020,4,williams,0.0,0,10
2020,5,mercedes,180.0,4,1
2020,5,red_bull,113.0,1,2
2020,5,ferrari,55.0,0,3
2020,5,mclaren,53.0,0,4
2020,5,racing_point,41.0,0,5
2020,5,renault,36.0,0,6
2020,5,alphatauri,14.0,0,7
2020,5,alfa,2.0,0,8
2020,5,haas,1.0,0,9
2020,5,williams,0.0,0,10
2020,6,mercedes,221.0,5,1
2020,6,red_bull,135.0,1,2
2020,6,racing_point,63.0,0,3
2020,6,mclaren,62.0,0,4
2020,6,ferrari,61.0,0,5
2020,6,renault,36.0,0,6
2020,6,alphatauri,16.0,0,7
2020,6,alfa,2.0,0,8
2020,6,haas,1.0,0,9
2020,6,williams,0.0,0,10
2020,7,mercedes,264.0,6,1
2020,7,red_bull,158.0,1,2
2020,7,mclaren,68.0,0,3
2020,7,racing_point,66.0,0,4
2020,7,ferrari,61.0,0,5
2020,7,renault,59.0,0,6
2020,7,alphatauri,20.0,0,7
2020,7,alfa,2.0,0,8
2020,7,haas,1.0,0,9
2020,7,williams,0.0,0,10
2020,8,mercedes,281.0,6,1
2020,8,red_bull,158.0,1,2
2020,8,mclaren,98.0,0,3
2020,8,racing_point,82.0,0,4
2020,8,renault,71.0,0,5
