season,round,driver,driver_points,driver_wins,driver_standings_pos
2014,1,nico_rosberg,25.0,1,1
2014,1,kevin_magnussen,18.0,0,2
2014,1,jenson_button,15.0,0,3
2014,1,fernando_alonso,12.0,0,4
2014,1,valtteri_bottas,10.0,0,5
2014,1,nico_hulkenberg,8.0,0,6
2014,1,kimi_raikkonen,6.0,0,7
2014,1,jean-eric_vergne,4.0,0,8
2014,1,daniil_kvyat,2.0,0,9
2014,1,sergio_perez,1.0,0,10
2014,1,adrian_sutil,0.0,0,11
2014,1,esteban_gutierrez,0.0,0,12
2014,1,max_chilton,0.0,0,13
2014,1,jules_bianchi,0.0,0,14
2014,1,romain_grosjean,0.0,0,15
2014,1,pastor_maldonado,0.0,0,16
2014,1,marcus_ericsson,0.0,0,17
2014,1,sebastian_vettel,0.0,0,18
2014,1,lewis_hamilton,0.0,0,19
2014,1,felipe_massa,0.0,0,20
2014,1,kamui_kobayashi,0.0,0,21
2014,1,daniel_ricciardo,0.0,0,22
2014,2,nico_rosberg,43.0,1,1
2014,2,lewis_hamilton,25.0,1,2
2014,2,fernando_alonso,24.0,0,3
2014,2,jenson_button,23.0,0,4
2014,2,kevin_magnussen,20.0,0,5
2014,2,nico_hulkenberg,18.0,0,6
2014,2,sebastian_vettel,15.0,0,7
2014,2,valtteri_bottas,14.0,0,8
2014,2,kimi_raikkonen,6.0,0,9
2014,2,felipe_massa,6.0,0,10
2014,2,jean-eric_vergne,4.0,0,11
2014,2,daniil_kvyat,3.0,0,12
2014,2,sergio_perez,1.0,0,13
2014,2,romain_grosjean,0.0,0,14
2014,2,adrian_sutil,0.0,0,15
2014,2,esteban_gutierrez,0.0,0,16
2014,2,max_chilton,0.0,0,17
2014,2,kamui_kobayashi,0.0,0,18
2014,2,marcus_ericsson,0.0,0,19
2014,2,jules_bianchi,0.0,0,20
2014,2,pastor_maldonado,0.0,0,21
2014,2,daniel_ricciardo,0.0,0,22
2014,3,nico_rosberg,61.0,1,1
2014,3,lewis_hamilton,50.0,2,2
2014,3,nico_hulkenberg,28.0,0,3
2014,3,fernando_alonso,26.0,0,4
2014,3,jenson_button,23.0,0,5
2014,3,sebastian_vettel,23.0,0,6
2014,3,kevin_magnussen,20.0,0,7
2014,3,valtteri_bottas,18.0,0,8
2014,3,sergio_perez,16.0,0,9
2014,3,daniel_ricciardo,12.0,0,10
2014,3,felipe_massa,12.0,0,11
2014,3,kimi_raikkonen,7.0,0,12
2014,3,jean-eric_vergne,4.0,0,13
2014,3,daniil_kvyat,3.0,0,14
2014,3,romain_grosjean,0.0,0,15
2014,3,adrian_sutil,0.0,0,16
2014,3,esteban_gutierrez,0.0,0,17
2014,3,max_chilton,0.0,0,18
2014,3,kamui_kobayashi,0.0,0,19
2014,3,pastor_maldonado,0.0,0,20
2014,3,marcus_ericsson,0.0,0,21
2014,3,jules_bianchi,0.0,0,22
2014,4,nico_rosberg,79.0,1,1
2014,4,lewis_hamilton,75.0,3,2
2014,4,fernando_alonso,41.0,0,3
2014,4,nico_hulkenberg,36.0,0,4
2014,4,sebastian_vettel,33.0,0,5
2014,4,daniel_ricciardo,24.0,0,6
2014,4,valtteri_bottas,24.0,0,7
2014,4,jenson_button,23.0,0,8
2014,4,kevin_magnussen,20.0,0,9
2014,4,sergio_perez,18.0,0,10
2014,4,felipe_massa,12.0,0,11
2014,4,kimi_raikkonen,11.0,0,12
2014,4,jean-eric_vergne,4.0,0,13
2014,4,daniil_kvyat,4.0,0,14
2014,4,romain_grosjean,0.0,0,15
2014,4,adrian_sutil,0.0,0,16
2014,4,esteban_gutierrez,0.0,0,17
2014,4,max_chilton,0.0,0,18
2014,4,kamui_kobayashi,0.0,0,19
2014,4,pastor_maldonado,0.0,0,20
2014,4,marcus_ericsson,0.0,0,21
2014,4,jules_bianchi,0.0,0,22
2014,5,lewis_hamilton,100.0,4,1
2014,5,nico_rosberg,97.0,1,2
2014,5,fernando_alonso,49.0,0,3
2014,5,sebastian_vettel,45.0,0,4
2014,5,daniel_ricciardo,39.0,0,5
2014,5,nico_hulkenberg,37.0,0,6
2014,5,valtteri_bottas,34.0,0,7
2014,5,jenson_button,23.0,0,8
2014,5,kevin_magnussen,20.0,0,9
2014,5,sergio_perez,20.0,0,10
2014,5,kimi_raikkonen,17.0,0,11
2014,5,felipe_massa,12.0,0,12
2014,5,romain_grosjean,4.0,0,13
2014,5,jean-eric_vergne,4.0,0,14
2014,5,daniil_kvyat,4.0,0,15
2014,5,adrian_sutil,0.0,0,16
