season,round,lap,driver,position,time
2017,6,1,raikkonen,1,1:22.770
2017,6,1,vettel,2,1:23.794
2017,6,1,bottas,3,1:25.588
2017,6,1,max_verstappen,4,1:26.405
2017,6,1,ricciardo,5,1:27.148
2017,6,1,sainz,6,1:28.577
2017,6,1,perez,7,1:29.212
2017,6,1,grosjean,8,1:30.339
2017,6,1,kevin_magnussen,9,1:31.072
2017,6,1,hulkenberg,10,1:31.611
2017,6,1,kvyat,11,1:32.404
2017,6,1,hamilton,12,1:32.932
2017,6,1,vandoorne,13,1:33.922
2017,6,1,massa,14,1:34.269
2017,6,1,ocon,15,1:34.884
2017,6,1,jolyon_palmer,16,1:35.963
2017,6,1,stroll,17,1:38.051
2017,6,1,ericsson,18,1:38.926
2017,6,1,wehrlein,19,1:55.832
2017,6,1,button,20,1:56.327
2017,6,2,raikkonen,1,1:17.914
2017,6,2,vettel,2,1:18.261
2017,6,2,bottas,3,1:18.471
2017,6,2,max_verstappen,4,1:18.621
2017,6,2,ricciardo,5,1:18.868
2017,6,2,sainz,6,1:19.175
2017,6,2,perez,7,1:19.523
2017,6,2,grosjean,8,1:19.396
2017,6,2,kevin_magnussen,9,1:19.826
2017,6,2,hulkenberg,10,1:20.266
2017,6,2,kvyat,11,1:20.501
2017,6,2,hamilton,12,1:20.615
2017,6,2,vandoorne,13,1:20.415
2017,6,2,massa,14,1:21.046
2017,6,2,ocon,15,1:20.993
2017,6,2,jolyon_palmer,16,1:21.655
2017,6,2,stroll,17,1:21.361
2017,6,2,ericsson,18,1:21.474
2017,6,2,wehrlein,19,1:23.470
2017,6,2,button,20,1:24.452
2017,6,3,raikkonen,1,1:18.043
2017,6,3,vettel,2,1:18.028
2017,6,3,bottas,3,1:17.996
2017,6,3,max_verstappen,4,1:18.070
2017,6,3,ricciardo,5,1:18.345
2017,6,3,sainz,6,1:18.608
2017,6,3,perez,7,1:18.509
2017,6,3,grosjean,8,1:18.816
2017,6,3,kevin_magnussen,9,1:18.871
2017,6,3,hulkenberg,10,1:18.876
2017,6,3,kvyat,11,1:19.092
2017,6,3,hamilton,12,1:19.434
2017,6,3,vandoorne,13,1:19.518
2017,6,3,massa,14,1:19.465
2017,6,3,ocon,15,1:19.636
2017,6,3,jolyon_palmer,16,1:19.780
2017,6,3,stroll,17,1:19.665
2017,6,3,ericsson,18,1:20.254
2017,6,3,wehrlein,19,1:19.255
2017,6,3,button,20,1:19.163
2017,6,4,raikkonen,1,1:17.072
2017,6,4,vettel,2,1:17.537
2017,6,4,bottas,3,1:17.793
2017,6,4,max_verstappen,4,1:17.909
2017,6,4,ricciardo,5,1:17.819
2017,6,4,sainz,6,1:18.328
2017,6,4,perez,7,1:18.241
2017,6,4,grosjean,8,1:18.606
2017,6,4,kevin_magnussen,9,1:19.029
2017,6,4,hulkenberg,10,1:18.980
2017,6,4,kvyat,11,1:18.888
2017,6,4,hamilton,12,1:19.069
2017,6,4,vandoorne,13,1:19.206
2017,6,4,massa,14,1:19.591
2017,6,4,ocon,15,1:19.516
2017,6,4,jolyon_palmer,16,1:19.504
2017,6,4,stroll,17,1:19.248
2017,6,4,ericsson,18,1:19.939
2017,6,4,wehrlein,19,1:19.248
2017,6,4,button,20,1:19.303
2017,6,5,raikkonen,1,1:17.209
2017,6,5,vettel,2,1:17.044
2017,6,5,bottas,3,1:17.654
2017,6,5,max_verstappen,4,1:17.594
2017,6,5,ricciardo,5,1:17.508
2017,6,5,sainz,6,1:17.935
2017,6,5,perez,7,1:18.219
2017,6,5,grosjean,8,1:18.944
2017,6,5,kevin_magnussen,9,1:18.700
2017,6,5,hulkenberg,10,1:18.537
2017,6,5,kvyat,11,1:18.616
2017,6,5,hamilton,12,1:19.267
2017,6,5,vandoorne,13,1:18.999
2017,6,5,massa,14,1:18.724
2017,6,5,ocon,15,1:18.862
2017,6,5,jolyon_palmer,16,1:19.140
2017,6,5,stroll,17,1:19.402
2017,6,5,ericsson,18,1:19.472
2017,6,5,wehrlein,19,1:18.442
2017,6,5,button,20,1:18.753
2017,6,6,raikkonen,1,1:17.179
2017,6,6,vettel,2,1:17.257
2017,6,6,bottas,3,1:17.617
2017,6,6,max_verstappen,4,1:17.675
2017,6,6,ricciardo,5,1:17.772
2017,6,6,sainz,6,1:17.851
2017,6,6,perez,7,1:17.942
2017,6,6,grosjean,8,1:18.366
2017,6,6,kevin_magnussen,9,1:18.513
2017,6,6,hulkenberg,10,1:18.835
2017,6,6,kvyat,11,1:18.661
2017,6,6,hamilton,12,1:18.683
2017,6,6,vandoorne,13,1:18.886
2017,6,6,massa,14,1:18.959
2017,6,6,ocon,15,1:19.049
2017,6,6,jolyon_palmer,16,1:18.927
2017,6,6,stroll,17,1:19.019
2017,6,6,ericsson,18,1:19.104
2017,6,6,wehrlein,19,1:18.692
2017,6,6,button,20,1:18.675
2017,6,7,raikkonen,1,1:16.666
2017,6,7,vettel,2,1:16.974
2017,6,7,bottas,3,1:17.053
2017,6,7,max_verstappen,4,1:17.447
2017,6,7,ricciardo,5,1:17.715
2017,6,7,sainz,6,1:17.928
2017,6,7,perez,7,1:17.907
2017,6,7,grosjean,8,1:17.949
2017,6,7,kevin_magnussen,9,1:18.213
2017,6,7,hulkenberg,10,1:18.520
2017,6,7,kvyat,11,1:18.521
2017,6,7,hamilton,12,1:18.167
2017,6,7,vandoorne,13,1:18.996
2017,6,7,massa,14,1:18.886
2017,6,7,ocon,15,1:18.871
2017,6,7,jolyon_palmer,16,1:18.687
2017,6,7,stroll,17,1:18.728
2017,6,7,ericsson,18,1:19.821
2017,6,7,wehrlein,19,1:18.660
2017,6,7,button,20,1:18.642
2017,6,8,raikkonen,1,1:16.882
2017,6,8,vettel,2,1:17.162
2017,6,8,bottas,3,1:16.839
2017,6,8,max_verstappen,4,1:17.024
2017,6,8,ricciardo,5,1:17.444
2017,6,8,sainz,6,1:17.639
2017,6,8,perez,7,1:17.880
2017,6,8,grosjean,8,1:17.628
2017,6,8,kevin_magnussen,9,1:17.982
2017,6,8,hulkenberg,10,1:17.975
2017,6,8,kvyat,11,1:18.183
2017,6,8,hamilton,12,1:18.076
2017,6,8,vandoorne,13,1:18.189
2017,6,8,massa,14,1:18.656
2017,6,8,ocon,15,1:18.715
2017,6,8,jolyon_palmer,16,1:18.828
2017,6,8,stroll,17,1:19.027
2017,6,8,ericsson,18,1:19.042
2017,6,8,wehrlein,19,1:18.938
2017,6,8,button,20,1:18.907
2017,6,9,raikkonen,1,1:16.594
2017,6,9,vettel,2,1:16.421
2017,6,9,bottas,3,1:17.024
2017,6,9,max_verstappen,4,1:17.240
2017,6,9,ricciardo,5,1:17.201
2017,6,9,sainz,6,1:17.572
2017,6,9,perez,7,1:17.700
2017,6,9,grosjean,8,1:17.991
2017,6,9,kevin_magnussen,9,1:17.840
2017,6,9,hulkenberg,10,1:17.981
2017,6,9,kvyat,11,1:18.184
2017,6,9,hamilton,12,1:18.491
2017,6,9,vandoorne,13,1:18.097
2017,6,9,massa,14,1:18.318
2017,6,9,ocon,15,1:18.435
2017,6,9,jolyon_palmer,16,1:18.775
2017,6,9,stroll,17,1:18.738
2017,6,9,ericsson,18,1:19.354
2017,6,9,wehrlein,19,1:18.516
2017,6,9,button,20,1:18.660
2017,6,10,raikkonen,1,1:16.740
2017,6,10,vettel,2,1:16.708
2017,6,10,bottas,3,1:16.847
2017,6,10,max_verstappen,4,1:17.184
2017,6,10,ricciardo,5,1:17.251
2017,6,10,sainz,6,1:17.507
2017,6,10,perez,7,1:17.736
2017,6,10,grosjean,8,1:17.503
2017,6,10,kevin_magnussen,9,1:18.482
2017,6,10,hulkenberg,10,1:18.088
2017,6,10,kvyat,11,1:18.023
2017,6,10,hamilton,12,1:18.281
2017,6,10,vandoorne,13,1:18.301
2017,6,10,massa,14,1:18.327
2017,6,10,ocon,15,1:18.467
2017,6,10,jolyon_palmer,16,1:18.825
2017,6,10,stroll,17,1:18.706
2017,6,10,ericsson,18,1:18.948
2017,6,10,wehrlein,19,1:18.792
2017,6,10,button,20,1:18.837
2017,6,11,raikkonen,1,1:16.813
2017,6,11,vettel,2,1:16.622
2017,6,11,bottas,3,1:17.035
2017,6,11,max_verstappen,4,1:17.248
2017,6,11,ricciardo,5,1:17.172
