season,round,lap,driver,position,time
2014,1,1,rosberg,1,1:42.038
2014,1,1,ricciardo,2,1:43.549
2014,1,1,kevin_magnussen,3,1:45.402
2014,1,1,hamilton,4,1:46.128
2014,1,1,hulkenberg,5,1:46.986
2014,1,1,alonso,6,1:48.266
2014,1,1,vergne,7,1:48.805
2014,1,1,raikkonen,8,1:49.387
2014,1,1,kvyat,9,1:49.503
2014,1,1,bottas,10,1:49.766
2014,1,1,button,11,1:50.328
2014,1,1,sutil,12,1:53.369
2014,1,1,ericsson,13,1:55.013
2014,1,1,maldonado,14,1:56.505
2014,1,1,vettel,15,2:00.977
2014,1,1,chilton,16,2:05.520
2014,1,1,grosjean,17,2:10.795
2014,1,1,perez,18,2:36.707
2014,1,1,gutierrez,19,2:41.894
2014,1,1,jules_bianchi,20,14:01.218
2014,1,2,rosberg,1,1:37.687
2014,1,2,ricciardo,2,1:37.459
2014,1,2,kevin_magnussen,3,1:37.435
2014,1,2,hulkenberg,4,1:38.359
2014,1,2,hamilton,5,1:40.287
2014,1,2,alonso,6,1:38.611
2014,1,2,vergne,7,1:38.579
2014,1,2,raikkonen,8,1:38.630
2014,1,2,kvyat,9,1:38.797
2014,1,2,bottas,10,1:38.737
2014,1,2,button,11,1:38.968
2014,1,2,sutil,12,1:41.685
2014,1,2,ericsson,13,1:41.262
2014,1,2,maldonado,14,1:40.456
2014,1,2,chilton,15,1:43.507
2014,1,2,vettel,16,1:49.947
2014,1,2,grosjean,17,1:45.629
2014,1,2,perez,18,1:44.790
2014,1,2,gutierrez,19,1:45.455
2014,1,2,jules_bianchi,20,1:39.460
2014,1,3,rosberg,1,1:35.765
2014,1,3,ricciardo,2,1:36.321
2014,1,3,kevin_magnussen,3,1:37.917
2014,1,3,hulkenberg,4,1:36.856
2014,1,3,alonso,5,1:37.810
2014,1,3,raikkonen,6,1:37.771
2014,1,3,vergne,7,1:39.424
2014,1,3,bottas,8,1:38.584
2014,1,3,kvyat,9,1:39.417
2014,1,3,button,10,1:38.705
2014,1,3,sutil,11,1:40.024
2014,1,3,ericsson,12,1:39.457
2014,1,3,maldonado,13,1:40.141
2014,1,3,chilton,14,1:40.425
2014,1,3,grosjean,15,1:38.519
2014,1,3,vettel,16,1:51.460
2014,1,3,perez,17,1:37.064
2014,1,3,gutierrez,18,1:40.567
2014,1,3,jules_bianchi,19,1:38.882
2014,1,4,rosberg,1,1:34.939
2014,1,4,ricciardo,2,1:35.966
2014,1,4,kevin_magnussen,3,1:36.796
2014,1,4,hulkenberg,4,1:36.878
2014,1,4,alonso,5,1:35.719
2014,1,4,raikkonen,6,1:37.013
2014,1,4,vergne,7,1:36.855
2014,1,4,bottas,8,1:36.786
2014,1,4,kvyat,9,1:37.037
2014,1,4,button,10,1:37.156
2014,1,4,sutil,11,1:39.823
2014,1,4,ericsson,12,1:39.774
2014,1,4,maldonado,13,1:39.728
2014,1,4,chilton,14,1:38.928
2014,1,4,grosjean,15,1:39.157
2014,1,4,perez,16,1:36.510
2014,1,4,gutierrez,17,1:37.400
2014,1,4,jules_bianchi,18,1:53.401
2014,1,5,rosberg,1,1:35.438
2014,1,5,ricciardo,2,1:36.665
2014,1,5,kevin_magnussen,3,1:36.766
2014,1,5,hulkenberg,4,1:36.352
2014,1,5,alonso,5,1:36.205
2014,1,5,raikkonen,6,1:36.092
2014,1,5,bottas,7,1:35.747
2014,1,5,vergne,8,1:37.592
2014,1,5,kvyat,9,1:36.992
2014,1,5,button,10,1:37.120
2014,1,5,ericsson,11,1:40.308
2014,1,5,sutil,12,1:41.794
2014,1,5,maldonado,13,1:40.548
2014,1,5,chilton,14,1:38.636
2014,1,5,grosjean,15,1:38.493
2014,1,5,perez,16,1:36.033
2014,1,5,gutierrez,17,1:36.445
2014,1,5,jules_bianchi,18,1:58.319
2014,1,6,rosberg,1,1:34.977
2014,1,6,ricciardo,2,1:35.480
2014,1,6,kevin_magnussen,3,1:35.857
2014,1,6,hulkenberg,4,1:36.063
2014,1,6,alonso,5,1:35.634
2014,1,6,raikkonen,6,1:35.132
2014,1,6,bottas,7,1:34.925
2014,1,6,vergne,8,1:36.357
2014,1,6,kvyat,9,1:36.745
2014,1,6,button,10,1:36.686
2014,1,6,ericsson,11,1:40.337
2014,1,6,sutil,12,1:39.542
2014,1,6,maldonado,13,1:39.369
2014,1,6,chilton,14,1:39.455
2014,1,6,grosjean,15,1:37.813
2014,1,6,perez,16,1:36.070
2014,1,6,gutierrez,17,1:36.154
2014,1,6,jules_bianchi,18,1:42.194
2014,1,7,rosberg,1,1:35.417
2014,1,7,ricciardo,2,1:35.324
2014,1,7,kevin_magnussen,3,1:35.446
2014,1,7,hulkenberg,4,1:36.618
2014,1,7,alonso,5,1:36.292
2014,1,7,raikkonen,6,1:36.143
2014,1,7,bottas,7,1:35.960
2014,1,7,vergne,8,1:36.263
2014,1,7,kvyat,9,1:36.228
2014,1,7,button,10,1:36.271
2014,1,7,sutil,11,1:37.994
2014,1,7,ericsson,12,1:39.846
2014,1,7,maldonado,13,1:39.590
2014,1,7,chilton,14,1:39.496
2014,1,7,grosjean,15,1:37.112
2014,1,7,perez,16,1:36.087
2014,1,7,gutierrez,17,1:36.033
2014,1,7,jules_bianchi,18,2:00.446
2014,1,8,rosberg,1,1:34.550
2014,1,8,ricciardo,2,1:35.088
2014,1,8,kevin_magnussen,3,1:35.752
2014,1,8,hulkenberg,4,1:36.306
2014,1,8,alonso,5,1:36.460
2014,1,8,bottas,6,1:35.573
2014,1,8,raikkonen,7,1:38.122
2014,1,8,vergne,8,1:35.798
2014,1,8,kvyat,9,1:35.862
2014,1,8,button,10,1:36.079
2014,1,8,sutil,11,1:37.798
2014,1,8,maldonado,12,1:38.909
2014,1,8,ericsson,13,1:40.867
