season,round,driver,fastest_time,podium,grid,time
2014,1,rosberg,104.595,1,3,97.872
2014,1,kevin_magnussen,105.745,2,4,98.342
2014,1,button,104.437,3,11,98.399
2014,1,alonso,105.819,4,5,98.491
2014,1,bottas,108.147,5,10,98.708
2014,1,hulkenberg,106.03,6,7,98.762
2014,1,raikkonen,104.494,7,12,98.884
2014,1,vergne,105.864,8,6,98.932
2014,1,kvyat,107.368,9,8,98.988
2014,1,perez,107.293,10,16,99.379
2014,1,sutil,105.655,11,14,99.765
2014,1,gutierrez,95.117,12,19,99.874
2014,1,chilton,94.293,13,17,101.838
2014,1,jules_bianchi,94.794,14,18,115.76
2014,1,grosjean,96.993,15,21,101.027
2014,1,ericsson,95.157,17,20,105.014
2014,1,vettel,104.688,18,13,114.128
2014,1,hamilton,104.231,19,1,103.208
2014,2,hamilton,119.431,1,1,107.607
2014,2,rosberg,120.05,2,3,107.916
2014,2,vettel,119.486,3,2,108.045
2014,2,alonso,120.175,4,4,108.249
2014,2,hulkenberg,121.712,5,7,108.45
2014,2,button,124.053,6,10,109.101
2014,2,massa,122.46,7,13,109.126
2014,2,bottas,122.756,8,15,109.134
2014,2,kevin_magnussen,122.213,9,8,109.607
2014,2,kvyat,122.351,10,11,110.097
2014,2,grosjean,122.885,11,16,110.137
2014,2,raikkonen,121.218,12,6,110.14
2014,2,kobayashi,123.595,13,20,110.868
2014,2,ericsson,124.407,14,22,111.806
2014,2,chilton,124.388,15,21,111.808
2014,2,ricciardo,120.541,16,5,112.705
2014,2,gutierrez,122.369,17,12,111.37
2014,2,sutil,122.131,18,18,111.437
2014,2,vergne,123.078,19,9,116.106
2014,2,jules_bianchi,122.702,20,19,128.704
2014,2,maldonado,122.074,21,17,115.515
2014,3,hamilton,93.464,1,2,104.96
2014,3,rosberg,93.185,2,1,104.979
2014,3,perez,94.346,3,5,105.383
2014,3,ricciardo,94.051,4,3,105.39
2014,3,hulkenberg,95.116,5,12,105.463
2014,3,vettel,94.985,6,11,105.485
2014,3,massa,94.511,7,8,105.509
2014,3,bottas,94.247,8,4,105.52
2014,3,alonso,94.992,9,10,105.532
2014,3,raikkonen,94.368,10,6,105.547
2014,3,kvyat,95.145,11,13,105.686
2014,3,grosjean,95.908,12,16,105.717
2014,3,chilton,97.913,13,22,106.011
2014,3,maldonado,96.663,14,17,106.062
2014,3,kobayashi,97.085,15,19,106.503
2014,3,jules_bianchi,97.31,16,20,108.207
2014,3,button,94.387,17,7,106.507
2014,3,kevin_magnussen,94.712,18,9,103.879
2014,3,gutierrez,95.891,19,15,104.072
2014,3,ericsson,97.875,20,21,105.42
2014,3,vergne,95.286,21,14,109.379
2014,3,sutil,96.84,22,18,116.079
2014,4,hamilton,113.86,1,1,103.8
2014,4,rosberg,115.143,2,4,104.134
2014,4,alonso,115.637,3,5,104.26
2014,4,ricciardo,114.455,4,2,104.282
2014,4,vettel,114.96,5,3,104.711
2014,4,hulkenberg,116.366,6,8,104.828
2014,4,bottas,116.282,7,7,104.838
2014,4,raikkonen,116.86,8,11,105.3
2014,4,perez,118.264,9,16,105.345
2014,4,kvyat,117.289,10,13,105.802
2014,4,button,116.963,11,12,105.998
2014,4,vergne,116.773,12,9,106.102
2014,4,kevin_magnussen,117.675,13,15,106.198
2014,4,massa,116.147,15,6,106.46
2014,4,gutierrez,118.988,16,17,106.637
2014,4,jules_bianchi,119.326,17,19,107.419
2014,4,kobayashi,119.26,18,18,107.413
2014,4,chilton,120.865,19,21,107.97
2014,4,ericsson,120.646,20,20,108.325
2014,4,grosjean,117.079,21,10,107.892
2014,4,sutil,117.393,22,14,120.58
2014,5,hamilton,85.232,1,1,91.896
2014,5,rosberg,85.4,2,2,91.906
2014,5,ricciardo,86.285,3,3,92.639
2014,5,vettel,87.052,4,10,93.058
2014,5,bottas,86.632,5,4,93.098
2014,5,alonso,87.14,6,7,93.226
2014,5,raikkonen,87.104,7,6,93.361
2014,5,grosjean,86.96,8,5,93.561
2014,5,perez,88.002,9,12,93.578
2014,5,hulkenberg,87.685,10,11,93.738
2014,5,button,87.335,11,8,93.807
2014,5,kevin_magnussen,88.389,12,15,93.817
2014,5,massa,87.402,13,9,93.826
2014,5,kvyat,88.039,14,13,93.953
2014,5,gutierrez,88.28,16,14,94.39
2014,5,sutil,88.563,17,17,94.438
2014,5,jules_bianchi,90.177,18,19,95.145
2014,5,chilton,89.586,19,18,95.781
2014,5,ericsson,90.312,20,20,96.107
2014,5,kobayashi,90.375,21,21,96.935
2014,5,vergne,88.194,22,16,95.817
2014,6,rosberg,75.989,1,1,84.201
2014,6,hamilton,76.048,2,2,84.319
2014,6,ricciardo,76.384,3,3,84.324
2014,6,alonso,76.686,4,5,84.617
2014,6,hulkenberg,77.846,5,11,85.566
2014,6,button,77.988,6,12,85.568
2014,6,massa,78.209,7,16,85.578
2014,6,grosjean,78.196,8,14,85.8
2014,6,jules_bianchi,79.332,9,19,85.781
2014,6,kevin_magnussen,77.555,10,8,85.919
2014,6,ericsson,81.732,11,22,86.057
2014,6,raikkonen,77.389,12,6,86.065
2014,6,kobayashi,80.133,13,21,87.817
2014,6,chilton,79.928,14,20,88.478
2014,6,gutierrez,78.741,15,17,86.555
2014,6,bottas,78.082,16,13,86.879
2014,6,vergne,77.54,17,7,87.542
2014,6,sutil,78.745,18,18,88.145
2014,6,kvyat,78.09,19,9,94.114
2014,6,vettel,76.547,20,4,120.442
2014,7,ricciardo,75.589,1,6,85.04
2014,7,rosberg,74.874,2,1,85.101
2014,7,vettel,75.548,3,3,85.115
2014,7,button,76.182,4,9,85.208
2014,7,hulkenberg,76.3,5,11,85.224
2014,7,alonso,75.814,6,7,85.253
2014,7,bottas,75.55,7,4,85.377
2014,7,vergne,76.162,8,8,85.441
2014,7,kevin_magnussen,76.31,9,12,85.458
2014,7,raikkonen,76.214,10,10,85.807
2014,7,perez,76.472,11,13,84.923
2014,7,massa,75.578,12,5,84.925
2014,7,sutil,77.314,13,16,86.512
2014,7,grosjean,76.687,15,14,86.658
2014,7,kvyat,76.713,16,15,88.433
2014,7,hamilton,74.953,17,2,87.212
2014,7,kobayashi,79.278,18,20,95.691
2014,7,maldonado,78.328,19,17,95.552
2014,7,ericsson,79.82,20,21,122.898
2014,8,rosberg,68.944,1,3,74.295
2014,8,hamilton,69.092,2,9,74.323
2014,8,bottas,68.846,3,2,74.411
2014,8,massa,68.759,4,1,74.54
2014,8,alonso,69.285,5,4,74.557
2014,8,perez,69.754,6,11,74.697
2014,8,kevin_magnussen,69.515,7,6,74.747
2014,8,ricciardo,69.466,8,5,74.908
2014,8,hulkenberg,69.624,9,10,74.917
2014,8,raikkonen,70.795,10,8,74.968
2014,8,button,69.78,11,12,75.013
2014,8,maldonado,69.939,12,14,75.549
2014,8,sutil,70.825,13,17,75.925
2014,8,grosjean,70.642,14,16,76.422
2014,8,jules_bianchi,71.412,15,19,76.517
2014,8,kobayashi,71.673,16,20,76.98
