season,round,grid,circuit_id,driver,fastest_time,stage,q_delta
2014,1,1,albert_park,hamilton,104.231,q3,0.0
2014,1,10,albert_park,bottas,108.147,q3,3.916000000000011
2014,1,11,albert_park,button,104.437,q2,0.20600000000000307
2014,1,12,albert_park,raikkonen,104.494,q2,0.26300000000000523
2014,1,13,albert_park,vettel,104.688,q2,0.45700000000000784
2014,1,14,albert_park,sutil,105.655,q2,1.4240000000000066
2014,1,15,albert_park,kobayashi,105.867,q2,1.63600000000001
2014,1,16,albert_park,perez,107.293,q2,3.062000000000012
2014,1,17,albert_park,chilton,94.293,q1,-9.937999999999988
2014,1,18,albert_park,jules_bianchi,94.794,q1,-9.436999999999998
2014,1,19,albert_park,gutierrez,95.117,q1,-9.11399999999999
2014,1,2,albert_park,ricciardo,104.548,q3,0.3170000000000073
2014,1,20,albert_park,ericsson,95.157,q1,-9.073999999999998
2014,1,21,albert_park,grosjean,96.993,q1,-7.2379999999999995
2014,1,22,albert_park,maldonado,,,0.0
2014,1,3,albert_park,rosberg,104.595,q3,0.0
2014,1,4,albert_park,kevin_magnussen,105.745,q3,-6.087999999999994
2014,1,5,albert_park,alonso,105.819,q3,-6.013999999999996
2014,1,6,albert_park,vergne,105.864,q3,-5.968999999999994
2014,1,7,albert_park,hulkenberg,106.03,q3,-5.802999999999997
2014,1,8,albert_park,kvyat,107.368,q3,-4.465000000000003
2014,1,9,albert_park,massa,108.079,q3,-3.754000000000005
2014,2,1,sepang,hamilton,119.431,q3,0.0
2014,2,10,sepang,button,124.053,q3,4.622
2014,2,11,sepang,kvyat,122.351,q2,2.9200000000000017
2014,2,12,sepang,gutierrez,122.369,q2,2.9380000000000024
2014,2,13,sepang,massa,122.46,q2,3.0289999999999964
2014,2,14,sepang,perez,122.511,q2,3.0799999999999983
2014,2,15,sepang,bottas,122.756,q2,3.325000000000003
2014,2,16,sepang,grosjean,122.885,q2,3.4540000000000077
2014,2,17,sepang,maldonado,122.074,q1,2.6430000000000007
2014,2,18,sepang,sutil,122.131,q1,2.700000000000003
2014,2,19,sepang,jules_bianchi,122.702,q1,3.271000000000001
2014,2,2,sepang,vettel,119.486,q3,0.05500000000000682
2014,2,20,sepang,kobayashi,123.595,q1,4.1640000000000015
2014,2,21,sepang,chilton,124.388,q1,4.957000000000008
2014,2,22,sepang,ericsson,124.407,q1,4.975999999999999
2014,2,3,sepang,rosberg,120.05,q3,0.6189999999999998
2014,2,4,sepang,alonso,120.175,q3,0.7439999999999998
2014,2,5,sepang,ricciardo,120.541,q3,1.1099999999999994
2014,2,6,sepang,raikkonen,121.218,q3,1.7870000000000061
2014,2,7,sepang,hulkenberg,121.712,q3,2.281000000000006
2014,2,8,sepang,kevin_magnussen,122.213,q3,2.7819999999999965
2014,2,9,sepang,vergne,123.078,q3,3.6470000000000056
2014,3,1,bahrain,rosberg,93.185,q3,0.0
2014,3,10,bahrain,alonso,94.992,q3,1.8070000000000022
2014,3,11,bahrain,vettel,94.985,q2,1.7999999999999972
2014,3,12,bahrain,hulkenberg,95.116,q2,1.9309999999999974
2014,3,13,bahrain,kvyat,95.145,q2,1.9599999999999937
2014,3,14,bahrain,vergne,95.286,q2,2.100999999999999
2014,3,15,bahrain,gutierrez,95.891,q2,2.706000000000003
2014,3,16,bahrain,grosjean,95.908,q2,2.722999999999999
2014,3,17,bahrain,maldonado,96.663,q1,3.4779999999999944
2014,3,18,bahrain,sutil,96.84,q1,3.655000000000001
2014,3,19,bahrain,kobayashi,97.085,q1,3.8999999999999915
2014,3,2,bahrain,hamilton,93.464,q3,0.27899999999999636
2014,3,20,bahrain,jules_bianchi,97.31,q1,4.125
2014,3,21,bahrain,ericsson,97.875,q1,4.689999999999998
2014,3,22,bahrain,chilton,97.913,q1,4.727999999999994
2014,3,3,bahrain,ricciardo,94.051,q3,0.8659999999999997
2014,3,4,bahrain,bottas,94.247,q3,1.0619999999999976
2014,3,5,bahrain,perez,94.346,q3,1.1610000000000014
2014,3,6,bahrain,raikkonen,94.368,q3,1.1829999999999927
2014,3,7,bahrain,button,94.387,q3,1.2019999999999982
2014,3,8,bahrain,massa,94.511,q3,1.3259999999999934
2014,3,9,bahrain,kevin_magnussen,94.712,q3,1.527000000000001
2014,4,1,shanghai,hamilton,113.86,q3,0.0
2014,4,10,shanghai,grosjean,117.079,q3,3.218999999999994
2014,4,11,shanghai,raikkonen,116.86,q2,3.0
2014,4,12,shanghai,button,116.963,q2,3.1029999999999944
2014,4,13,shanghai,kvyat,117.289,q2,3.429000000000002
2014,4,14,shanghai,sutil,117.393,q2,3.5330000000000013
2014,4,15,shanghai,kevin_magnussen,117.675,q2,3.8149999999999977
2014,4,16,shanghai,perez,118.264,q2,4.403999999999996
2014,4,17,shanghai,gutierrez,118.988,q1,5.128
2014,4,18,shanghai,kobayashi,119.26,q1,5.400000000000006
2014,4,19,shanghai,jules_bianchi,119.326,q1,5.465999999999994
2014,4,2,shanghai,ricciardo,114.455,q3,0.5949999999999989
2014,4,20,shanghai,ericsson,120.646,q1,6.786000000000001
2014,4,21,shanghai,chilton,120.865,q1,7.0049999999999955
2014,4,22,shanghai,maldonado,,,0.0
2014,4,3,shanghai,vettel,114.96,q3,0.0
2014,4,4,shanghai,rosberg,115.143,q3,7.188000000000002
2014,4,5,shanghai,alonso,115.637,q3,7.682000000000002
2014,4,6,shanghai,massa,116.147,q3,8.192000000000007
2014,4,7,shanghai,bottas,116.282,q3,8.326999999999998
2014,4,8,shanghai,hulkenberg,116.366,q3,8.411000000000001
2014,4,9,shanghai,vergne,116.773,q3,8.817999999999998
2014,5,1,catalunya,hamilton,85.232,q3,0.0
2014,5,10,catalunya,vettel,87.052,q2,1.8200000000000074
2014,5,11,catalunya,hulkenberg,87.685,q2,2.453000000000003
2014,5,12,catalunya,perez,88.002,q2,2.769999999999996
2014,5,13,catalunya,kvyat,88.039,q2,2.807000000000002
2014,5,14,catalunya,gutierrez,88.28,q2,3.048000000000002
2014,5,15,catalunya,kevin_magnussen,88.389,q1,3.1569999999999965
2014,5,16,catalunya,vergne,88.194,q1,2.9620000000000033
2014,5,17,catalunya,sutil,88.563,q1,3.331000000000003
2014,5,18,catalunya,chilton,89.586,q1,4.353999999999999
2014,5,19,catalunya,jules_bianchi,90.177,q1,4.945000000000007
2014,5,2,catalunya,rosberg,85.4,q3,0.16800000000000637
2014,5,20,catalunya,ericsson,90.312,q1,5.079999999999998
2014,5,21,catalunya,kobayashi,90.375,q1,5.143000000000001
2014,5,22,catalunya,maldonado,,,0.0
2014,5,3,catalunya,ricciardo,86.285,q3,0.0
2014,5,4,catalunya,bottas,86.632,q3,5.490000000000009
