season,round,circuit_id,country,lat,long,date,url
2014,1,albert_park,Australia,-37.8497,144.968,2014-03-16,http://en.wikipedia.org/wiki/2014_Australian_Grand_Prix
2014,2,sepang,Malaysia,2.76083,101.738,2014-03-30,http://en.wikipedia.org/wiki/2014_Malaysian_Grand_Prix
2014,3,bahrain,Bahrain,26.0325,50.5106,2014-04-06,http://en.wikipedia.org/wiki/2014_Bahrain_Grand_Prix
2014,4,shanghai,China,31.3389,121.22,2014-04-20,http://en.wikipedia.org/wiki/2014_Chinese_Grand_Prix
2014,5,catalunya,Spain,41.57,2.26111,2014-05-11,http://en.wikipedia.org/wiki/2014_Spanish_Grand_Prix
2014,6,monaco,Monaco,43.7347,7.42056,2014-05-25,http://en.wikipedia.org/wiki/2014_Monaco_Grand_Prix
2014,7,villeneuve,Canada,45.5,-73.5228,2014-06-08,http://en.wikipedia.org/wiki/2014_Canadian_Grand_Prix
2014,8,red_bull_ring,Austria,47.2197,14.7647,2014-06-22,http://en.wikipedia.org/wiki/2014_Austrian_Grand_Prix
2014,9,silverstone,UK,52.0786,-1.01694,2014-07-06,http://en.wikipedia.org/wiki/2014_British_Grand_Prix
2014,10,hockenheimring,Germany,49.3278,8.56583,2014-07-20,http://en.wikipedia.org/wiki/2014_German_Grand_Prix
2014,11,hungaroring,Hungary,47.5789,19.2486,2014-07-27,http://en.wikipedia.org/wiki/2014_Hungarian_Grand_Prix
2014,12,spa,Belgium,50.4372,5.97139,2014-08-24,http://en.wikipedia.org/wiki/2014_Belgian_Grand_Prix
2014,13,monza,Italy,45.6156,9.28111,2014-09-07,http://en.wikipedia.org/wiki/2014_Italian_Grand_Prix
2014,14,marina_bay,Singapore,1.2914,103.864,2014-09-21,http://en.wikipedia.org/wiki/2014_Singapore_Grand_Prix
2014,15,suzuka,Japan,34.8431,136.541,2014-10-05,http://en.wikipedia.org/wiki/2014_Japanese_Grand_Prix
2014,16,sochi,Russia,43.4057,39.9578,2014-10-12,http://en.wikipedia.org/wiki/2014_Russian_Grand_Prix
2014,17,americas,USA,30.1328,-97.6411,2014-11-02,http://en.wikipedia.org/wiki/2014_United_States_Grand_Prix
2014,18,interlagos,Brazil,-23.7036,-46.6997,2014-11-09,http://en.wikipedia.org/wiki/2014_Brazilian_Grand_Prix
2014,19,yas_marina,UAE,24.4672,54.6031,2014-11-23,http://en.wikipedia.org/wiki/2014_Abu_Dhabi_Grand_Prix
2015,1,albert_park,Australia,-37.8497,144.968,2015-03-15,http://en.wikipedia.org/wiki/2015_Australian_Grand_Prix
2015,2,sepang,Malaysia,2.76083,101.738,2015-03-29,http://en.wikipedia.org/wiki/2015_Malaysian_Grand_Prix
2015,3,shanghai,China,31.3389,121.22,2015-04-12,http://en.wikipedia.org/wiki/2015_Chinese_Grand_Prix
2015,4,bahrain,Bahrain,26.0325,50.5106,2015-04-19,http://en.wikipedia.org/wiki/2015_Bahrain_Grand_Prix
2015,5,catalunya,Spain,41.57,2.26111,2015-05-10,http://en.wikipedia.org/wiki/2015_Spanish_Grand_Prix
2015,6,monaco,Monaco,43.7347,7.42056,2015-05-24,http://en.wikipedia.org/wiki/2015_Monaco_Grand_Prix
2015,7,villeneuve,Canada,45.5,-73.5228,2015-06-07,http://en.wikipedia.org/wiki/2015_Canadian_Grand_Prix
2015,8,red_bull_ring,Austria,47.2197,14.7647,2015-06-21,http://en.wikipedia.org/wiki/2015_Austrian_Grand_Prix
2015,9,silverstone,UK,52.0786,-1.01694,2015-07-05,http://en.wikipedia.org/wiki/2015_British_Grand_Prix
2015,10,hungaroring,Hungary,47.5789,19.2486,2015-07-26,http://en.wikipedia.org/wiki/2015_Hungarian_Grand_Prix
2015,11,spa,Belgium,50.4372,5.97139,2015-08-23,http://en.wikipedia.org/wiki/2015_Belgian_Grand_Prix
2015,12,monza,Italy,45.6156,9.28111,2015-09-06,http://en.wikipedia.org/wiki/2015_Italian_Grand_Prix
2015,13,marina_bay,Singapore,1.2914,103.864,2015-09-20,http://en.wikipedia.org/wiki/2015_Singapore_Grand_Prix
2015,14,suzuka,Japan,34.8431,136.541,2015-09-27,http://en.wikipedia.org/wiki/2015_Japanese_Grand_Prix
2015,15,sochi,Russia,43.4057,39.9578,2015-10-11,http://en.wikipedia.org/wiki/2015_Russian_Grand_Prix
2015,16,americas,USA,30.1328,-97.6411,2015-10-25,http://en.wikipedia.org/wiki/2015_United_States_Grand_Prix
2015,17,rodriguez,Mexico,19.4042,-99.0907,2015-11-01,http://en.wikipedia.org/wiki/2015_Mexican_Grand_Prix
2015,18,interlagos,Brazil,-23.7036,-46.6997,2015-11-15,http://en.wikipedia.org/wiki/2015_Brazilian_Grand_Prix
2015,19,yas_marina,UAE,24.4672,54.6031,2015-11-29,http://en.wikipedia.org/wiki/2015_Abu_Dhabi_Grand_Prix
2016,1,albert_park,Australia,-37.8497,144.968,2016-03-20,http://en.wikipedia.org/wiki/2016_Australian_Grand_Prix
2016,2,bahrain,Bahrain,26.0325,50.5106,2016-04-03,http://en.wikipedia.org/wiki/2016_Bahrain_Grand_Prix
2016,3,shanghai,China,31.3389,121.22,2016-04-17,http://en.wikipedia.org/wiki/2016_Chinese_Grand_Prix
2016,4,sochi,Russia,43.4057,39.9578,2016-05-01,http://en.wikipedia.org/wiki/2016_Russian_Grand_Prix
2016,5,catalunya,Spain,41.57,2.26111,2016-05-15,http://en.wikipedia.org/wiki/2016_Spanish_Grand_Prix
2016,6,monaco,Monaco,43.7347,7.42056,2016-05-29,http://en.wikipedia.org/wiki/2016_Monaco_Grand_Prix
2016,7,villeneuve,Canada,45.5,-73.5228,2016-06-12,http://en.wikipedia.org/wiki/2016_Canadian_Grand_Prix
2016,8,baku,Azerbaijan,40.3725,49.8533,2016-06-19,http://en.wikipedia.org/wiki/2016_European_Grand_Prix
2016,9,red_bull_ring,Austria,47.2197,14.7647,2016-07-03,http://en.wikipedia.org/wiki/2016_Austrian_Grand_Prix
2016,10,silverstone,UK,52.0786,-1.01694,2016-07-10,http://en.wikipedia.org/wiki/2016_British_Grand_Prix
2016,11,hungaroring,Hungary,47.5789,19.2486,2016-07-24,http://en.wikipedia.org/wiki/2016_Hungarian_Grand_Prix
2016,12,hockenheimring,Germany,49.3278,8.56583,2016-07-31,http://en.wikipedia.org/wiki/2016_German_Grand_Prix
2016,13,spa,Belgium,50.4372,5.97139,2016-08-28,http://en.wikipedia.org/wiki/2016_Belgian_Grand_Prix
2016,14,monza,Italy,45.6156,9.28111,2016-09-04,http://en.wikipedia.org/wiki/2016_Italian_Grand_Prix
2016,15,marina_bay,Singapore,1.2914,103.864,2016-09-18,http://en.wikipedia.org/wiki/2016_Singapore_Grand_Prix
2016,16,sepang,Malaysia,2.76083,101.738,2016-10-02,http://en.wikipedia.org/wiki/2016_Malaysian_Grand_Prix
