season,round,circuit_id,driver,date_of_birth,nationality,constructor,grid,time,status,points,podium
2014,1,albert_park,rosberg,1985-06-27,German,mercedes,3,5578710.0,Finished,25.0,1
2014,1,albert_park,kevin_magnussen,1992-10-05,Danish,mclaren,4,5605487.0,Finished,18.0,2
2014,1,albert_park,button,1980-01-19,British,mclaren,10,5608737.0,Finished,15.0,3
2014,1,albert_park,alonso,1981-07-29,Spanish,ferrari,5,5613994.0,Finished,12.0,4
2014,1,albert_park,bottas,1989-08-28,Finnish,williams,15,5626349.0,Finished,10.0,5
2014,1,albert_park,hulkenberg,1987-08-19,German,force_india,7,5629428.0,Finished,8.0,6
2014,1,albert_park,raikkonen,1979-10-17,Finnish,ferrari,11,5636385.0,Finished,6.0,7
2014,1,albert_park,vergne,1990-04-25,French,toro_rosso,6,5639151.0,Finished,4.0,8
2014,1,albert_park,kvyat,1994-04-26,Russian,toro_rosso,8,5642295.0,Finished,2.0,9
2014,1,albert_park,perez,1990-01-26,Mexican,force_india,16,5664626.0,Finished,1.0,10
2014,1,albert_park,sutil,1983-01-11,German,sauber,13,,+1 Lap,0.0,11
2014,1,albert_park,gutierrez,1991-08-05,Mexican,sauber,20,,+1 Lap,0.0,12
2014,1,albert_park,chilton,1991-04-21,British,marussia,17,,+2 Laps,0.0,13
2014,1,albert_park,jules_bianchi,1989-08-03,French,marussia,18,,+8 Laps,0.0,14
2014,1,albert_park,grosjean,1986-04-17,French,lotus_f1,22,,ERS,0.0,15
2014,1,albert_park,maldonado,1985-03-09,Venezuelan,lotus_f1,21,,ERS,0.0,16
2014,1,albert_park,ericsson,1990-09-02,Swedish,caterham,19,,Oil pressure,0.0,17
2014,1,albert_park,vettel,1987-07-03,German,red_bull,12,,Engine,0.0,18
2014,1,albert_park,hamilton,1985-01-07,British,mercedes,1,,Engine,0.0,19
2014,1,albert_park,massa,1981-04-25,Brazilian,williams,9,,Collision,0.0,20
2014,1,albert_park,kobayashi,1986-09-13,Japanese,caterham,14,,Collision,0.0,21
2014,1,albert_park,ricciardo,1989-07-01,Australian,red_bull,2,5603235.0,Disqualified,0.0,22
2014,2,sepang,hamilton,1985-01-07,British,mercedes,1,6025974.0,Finished,25.0,1
2014,2,sepang,rosberg,1985-06-27,German,mercedes,3,6043287.0,Finished,18.0,2
2014,2,sepang,vettel,1987-07-03,German,red_bull,2,6050508.0,Finished,15.0,3
2014,2,sepang,alonso,1981-07-29,Spanish,ferrari,4,6061966.0,Finished,12.0,4
2014,2,sepang,hulkenberg,1987-08-19,German,force_india,7,6073173.0,Finished,10.0,5
2014,2,sepang,button,1980-01-19,British,mclaren,10,6109665.0,Finished,8.0,6
2014,2,sepang,massa,1981-04-25,Brazilian,williams,13,6111050.0,Finished,6.0,7
2014,2,sepang,bottas,1989-08-28,Finnish,williams,18,6111511.0,Finished,4.0,8
2014,2,sepang,kevin_magnussen,1992-10-05,Danish,mclaren,8,,+1 Lap,2.0,9
2014,2,sepang,kvyat,1994-04-26,Russian,toro_rosso,11,,+1 Lap,1.0,10
2014,2,sepang,grosjean,1986-04-17,French,lotus_f1,15,,+1 Lap,0.0,11
2014,2,sepang,raikkonen,1979-10-17,Finnish,ferrari,6,,+1 Lap,0.0,12
2014,2,sepang,kobayashi,1986-09-13,Japanese,caterham,20,,+1 Lap,0.0,13
2014,2,sepang,ericsson,1990-09-02,Swedish,caterham,22,,+2 Laps,0.0,14
2014,2,sepang,chilton,1991-04-21,British,marussia,21,,+2 Laps,0.0,15
2014,2,sepang,ricciardo,1989-07-01,Australian,red_bull,5,,Technical,0.0,16
2014,2,sepang,gutierrez,1991-08-05,Mexican,sauber,12,,Gearbox,0.0,17
2014,2,sepang,sutil,1983-01-11,German,sauber,17,,Electrical,0.0,18
2014,2,sepang,vergne,1990-04-25,French,toro_rosso,9,,Power Unit,0.0,19
2014,2,sepang,jules_bianchi,1989-08-03,French,marussia,19,,Brakes,0.0,20
2014,2,sepang,maldonado,1985-03-09,Venezuelan,lotus_f1,16,,Engine,0.0,21
2014,2,sepang,perez,1990-01-26,Mexican,force_india,14,,Withdrew,0.0,22
2014,3,bahrain,hamilton,1985-01-07,British,mercedes,2,5982743.0,Finished,25.0,1
2014,3,bahrain,rosberg,1985-06-27,German,mercedes,1,5983828.0,Finished,18.0,2
2014,3,bahrain,perez,1990-01-26,Mexican,force_india,4,6006810.0,Finished,15.0,3
2014,3,bahrain,ricciardo,1989-07-01,Australian,red_bull,13,6007232.0,Finished,12.0,4
2014,3,bahrain,hulkenberg,1987-08-19,German,force_india,11,6011397.0,Finished,10.0,5
2014,3,bahrain,vettel,1987-07-03,German,red_bull,10,6012622.0,Finished,8.0,6
2014,3,bahrain,massa,1981-04-25,Brazilian,williams,7,6014008.0,Finished,6.0,7
2014,3,bahrain,bottas,1989-08-28,Finnish,williams,3,6014619.0,Finished,4.0,8
2014,3,bahrain,alonso,1981-07-29,Spanish,ferrari,9,6015338.0,Finished,2.0,9
2014,3,bahrain,raikkonen,1979-10-17,Finnish,ferrari,5,6016205.0,Finished,1.0,10
2014,3,bahrain,kvyat,1994-04-26,Russian,toro_rosso,12,6024085.0,Finished,0.0,11
2014,3,bahrain,grosjean,1986-04-17,French,lotus_f1,16,6025886.0,Finished,0.0,12
2014,3,bahrain,chilton,1991-04-21,British,marussia,21,6042652.0,Finished,0.0,13
2014,3,bahrain,maldonado,1985-03-09,Venezuelan,lotus_f1,17,6045546.0,Finished,0.0,14
2014,3,bahrain,kobayashi,1986-09-13,Japanese,caterham,18,6070643.0,Finished,0.0,15
2014,3,bahrain,jules_bianchi,1989-08-03,French,marussia,19,,+1 Lap,0.0,16
2014,3,bahrain,button,1980-01-19,British,mclaren,6,,Clutch,0.0,17
2014,3,bahrain,kevin_magnussen,1992-10-05,Danish,mclaren,8,,Clutch,0.0,18
2014,3,bahrain,gutierrez,1991-08-05,Mexican,sauber,15,,Collision,0.0,19
2014,3,bahrain,ericsson,1990-09-02,Swedish,caterham,20,,Retired,0.0,20
2014,3,bahrain,vergne,1990-04-25,French,toro_rosso,14,,Retired,0.0,21
2014,3,bahrain,sutil,1983-01-11,German,sauber,22,,Collision,0.0,22
2014,4,shanghai,hamilton,1985-01-07,British,mercedes,1,5608338.0,Finished,25.0,1
2014,4,shanghai,rosberg,1985-06-27,German,mercedes,4,5626400.0,Finished,18.0,2
