,model,hidden_layer_sizes,activation,solver,alpha,score
959,nn_regressor,"(200, 100, 50, 25)",tanh,adam,10.0,0.7368421052631579
630,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.04281332398719392,0.7368421052631579
628,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.012742749857031334,0.7368421052631579
627,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.0069519279617756054,0.7368421052631579
626,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.00379269019073225,0.7368421052631579
625,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.00206913808111479,0.7368421052631579
623,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.0006158482110660267,0.7368421052631579
622,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.0003359818286283781,0.7368421052631579
621,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.00018329807108324357,0.7368421052631579
620,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.0001,0.7368421052631579
875,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.8858667904100823,0.7368421052631579
874,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.4832930238571752,0.7368421052631579
873,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.26366508987303583,0.7368421052631579
872,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.14384498882876628,0.7368421052631579
871,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.07847599703514607,0.7368421052631579
870,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.04281332398719392,0.7368421052631579
869,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.023357214690901212,0.7368421052631579
868,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.012742749857031334,0.7368421052631579
867,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.0069519279617756054,0.7368421052631579
866,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.00379269019073225,0.7368421052631579
865,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.00206913808111479,0.7368421052631579
864,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.0011288378916846883,0.7368421052631579
863,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.0006158482110660267,0.7368421052631579
862,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.0003359818286283781,0.7368421052631579
861,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.00018329807108324357,0.7368421052631579
860,nn_regressor,"(200, 100, 50, 25)",logistic,sgd,0.0001,0.7368421052631579
96,nn_regressor,"(80, 20, 40, 5)",relu,sgd,1.623776739188721,0.7368421052631579
587,nn_regressor,"(100, 50, 25, 10)",relu,adam,0.0069519279617756054,0.7368421052631579
588,nn_regressor,"(100, 50, 25, 10)",relu,adam,0.012742749857031334,0.7368421052631579
590,nn_regressor,"(100, 50, 25, 10)",relu,adam,0.04281332398719392,0.7368421052631579
816,nn_regressor,"(200, 100, 50, 25)",relu,sgd,1.623776739188721,0.7368421052631579
629,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.023357214690901212,0.7368421052631579
624,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.0011288378916846883,0.7368421052631579
635,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.8858667904100823,0.7368421052631579
577,nn_regressor,"(100, 50, 25, 10)",relu,sgd,2.9763514416313193,0.7368421052631579
636,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,1.623776739188721,0.7368421052631579
634,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.4832930238571752,0.7368421052631579
366,nn_regressor,"(75, 30, 50, 10, 3)",logistic,lbfgs,0.00379269019073225,0.7368421052631579
633,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.26366508987303583,0.7368421052631579
355,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.8858667904100823,0.7368421052631579
631,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.07847599703514607,0.7368421052631579
353,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.26366508987303583,0.7368421052631579
352,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.14384498882876628,0.7368421052631579
579,nn_regressor,"(100, 50, 25, 10)",relu,sgd,10.0,0.7368421052631579
632,nn_regressor,"(100, 50, 25, 10)",logistic,sgd,0.14384498882876628,0.7368421052631579
598,nn_regressor,"(100, 50, 25, 10)",relu,adam,5.455594781168514,0.6842105263157895
95,nn_regressor,"(80, 20, 40, 5)",relu,sgd,0.8858667904100823,0.6842105263157895
599,nn_regressor,"(100, 50, 25, 10)",relu,adam,10.0,0.6842105263157895
347,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.0069519279617756054,0.6842105263157895
344,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.0011288378916846883,0.6842105263157895
802,nn_regressor,"(200, 100, 50, 25)",relu,sgd,0.0003359818286283781,0.6842105263157895
113,nn_regressor,"(80, 20, 40, 5)",relu,adam,0.26366508987303583,0.6842105263157895
348,nn_regressor,"(75, 30, 50, 10, 3)",relu,adam,0.012742749857031334,0.6842105263157895
807,nn_regressor,"(200, 100, 50, 25)",relu,sgd,0.0069519279617756054,0.6842105263157895
