model,criterion,max_features,max_depth,score
random_forest_regressor,squared_error,1.0,13,0.5909090909090909
random_forest_regressor,squared_error,1.0,21,0.5909090909090909
random_forest_regressor,squared_error,1.0,47,0.5909090909090909
random_forest_regressor,squared_error,0.8,27,0.5909090909090909
random_forest_regressor,squared_error,1.0,41,0.5909090909090909
random_forest_regressor,squared_error,0.8,39,0.5909090909090909
random_forest_regressor,squared_error,1.0,33,0.5909090909090909
random_forest_regressor,squared_error,0.8,51,0.5909090909090909
random_forest_regressor,squared_error,0.8,19,0.5909090909090909
random_forest_regressor,squared_error,1.0,49,0.5454545454545454
random_forest_regressor,squared_error,1.0,45,0.5454545454545454
random_forest_regressor,squared_error,1.0,37,0.5454545454545454
random_forest_regressor,squared_error,1.0,31,0.5454545454545454
random_forest_regressor,squared_error,1.0,27,0.5454545454545454
random_forest_regressor,squared_error,1.0,25,0.5454545454545454
random_forest_regressor,squared_error,1.0,23,0.5454545454545454
random_forest_regressor,squared_error,0.8,15,0.5454545454545454
random_forest_regressor,squared_error,1.0,15,0.5454545454545454
random_forest_regressor,squared_error,0.8,55,0.5454545454545454
random_forest_regressor,squared_error,0.8,49,0.5454545454545454
random_forest_regressor,squared_error,0.8,45,0.5454545454545454
random_forest_regressor,squared_error,0.8,43,0.5454545454545454
random_forest_regressor,squared_error,0.8,41,0.5454545454545454
random_forest_regressor,squared_error,0.8,37,0.5454545454545454
random_forest_regressor,squared_error,0.8,35,0.5454545454545454
random_forest_regressor,squared_error,0.8,25,0.5454545454545454
random_forest_regressor,squared_error,0.8,23,0.5454545454545454
random_forest_regressor,squared_error,0.8,21,0.5454545454545454
random_forest_regressor,squared_error,1.0,51,0.5454545454545454
random_forest_regressor,squared_error,1.0,43,0.5227272727272727
